6,4,2,2
0.000000,0.600000,0.000000,0.400000
30,39,3
0.000000,0.200000
0.000000,0.300000
0.000000,0.400000
0.100000,0.200000
0.100000,0.300000
0.100000,0.400000
0.200000,0.000000
0.200000,0.100000
0.200000,0.200000
0.200000,0.300000
0.200000,0.400000
0.300000,0.000000
0.300000,0.100000
0.300000,0.200000
0.300000,0.300000
0.300000,0.400000
0.400000,0.000000
0.400000,0.100000
0.400000,0.200000
0.400000,0.300000
0.400000,0.400000
0.500000,0.000000
0.500000,0.100000
0.500000,0.200000
0.500000,0.300000
0.500000,0.400000
0.600000,0.000000
0.600000,0.100000
0.600000,0.200000
0.600000,0.300000
0.600000,0.400000
0,3,1
4,1,3
1,4,2
5,2,4
3,8,4
9,4,8
4,9,5
10,5,9
6,11,7
12,7,11
7,12,8
13,8,12
8,13,9
14,9,13
9,14,10
15,10,14
11,16,12
17,12,16
12,17,13
18,13,17
13,18,14
19,14,18
14,19,15
20,15,19
16,21,17
22,17,21
17,22,18
23,18,22
18,23,19
24,19,23
19,24,20
25,20,24
21,26,22
27,22,26
22,27,23
28,23,27
23,28,24
29,24,28
24,29,25
30,25,29
0.000000,1,0.000000
0.000000,0,0.000000
1.000000,1,0.000000
0.000000,1,0.000000
0.000000,0,0.000000
1.000000,1,0.000000
0.000000,1,0.000000
0.000000,1,0.000000
0.000000,1,0.000000
0.000000,0,0.000000
1.000000,1,0.000000
0.000000,1,0.000000
0.000000,0,0.000000
0.000000,0,0.000000
0.000000,0,0.000000
1.000000,1,0.000000
0.000000,1,0.000000
0.000000,0,0.000000
0.000000,0,0.000000
0.000000,0,0.000000
1.000000,1,0.000000
0.000000,1,0.000000
0.000000,0,0.000000
0.000000,0,0.000000
0.000000,0,0.000000
1.000000,1,0.000000
0.000000,1,0.000000
0.000000,0,0.000000
0.000000,0,0.000000
0.000000,0,0.000000
1.000000,1,0.000000
